"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Online Bookstore","0","Author Management - Negative Scenarios","1","0","Retrieve specific author","0"
"0","Online Bookstore","0","Books Management - Positive Scenarios","1","0","Update book details","0"
"0","Online Bookstore","0","Author Management - Positive Scenarios","1","0","List all authors","0"
"0","Online Bookstore","0","Books Management - Negative Scenarios","1","0","Empty Request Body","0"
"0","Online Bookstore","0","Author Management - Positive Scenarios","1","0","Create a new author","0"
"0","Online Bookstore","2","Author Management - Negative Scenarios","0","0","Create a new author","0"
"0","Online Bookstore","0","Books Management - Negative Scenarios","3","0","Get book by invalid IDs","0"
"0","Online Bookstore","1","Author Management - Negative Scenarios","0","0","Delete author","0"
"0","Online Bookstore","0","Books Management - Negative Scenarios","4","0","Create book with invalid date format","0"
"0","Online Bookstore","0","Author Management - Positive Scenarios","1","0","Retrieve specific author","0"
"0","Online Bookstore","0","Books Management - Positive Scenarios","1","0","List all books","0"
"0","Online Bookstore","0","Books Management - Positive Scenarios","1","0","Delete book","0"
"0","Online Bookstore","0","Author Management - Positive Scenarios","1","0","Update author details","0"
"0","Online Bookstore","1","Author Management - Negative Scenarios","0","0","Update author details","0"
"0","Online Bookstore","0","Books Management - Negative Scenarios","1","0","Security - SQL Injection","0"
"0","Online Bookstore","0","Books Management - Positive Scenarios","1","0","Create a new book","0"
"0","Online Bookstore","0","Books Management - Negative Scenarios","1","0","Boundary Value - Extremely Long Title","0"
"0","Online Bookstore","0","Author Management - Positive Scenarios","1","0","Delete author","0"
