"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","408","Error when deleting author with negative ID","","Fri Jan 30 09:14:27 UTC 2026","failed","Fri Jan 30 09:14:27 UTC 2026","","AuthorsNegativeTests","AuthorsNegativeTests","testDeleteAuthorWithNegativeId"
"","779","Delete a book by its ID","","Fri Jan 30 09:14:36 UTC 2026","passed","Fri Jan 30 09:14:37 UTC 2026","","BooksHappyPathTests","BooksHappyPathTests","testDeleteBook"
"","383","Error when updating author that does not exist","","Fri Jan 30 09:14:29 UTC 2026","failed","Fri Jan 30 09:14:29 UTC 2026","","AuthorsNegativeTests","AuthorsNegativeTests","testUpdateNonExistentAuthor"
"","392","Negative: Retrieve book with non-existent or boundary IDs Scenario: Zero ID with ID: 0","","Fri Jan 30 09:14:27 UTC 2026","passed","Fri Jan 30 09:14:27 UTC 2026","","BooksNegativeTests","BooksNegativeTests","testGetBookByInvalidId"
"","386","Negative testing for Get Author by ID Scenario: Non-existent ID with ID: 999999","","Fri Jan 30 09:14:27 UTC 2026","passed","Fri Jan 30 09:14:28 UTC 2026","","AuthorsNegativeTests","AuthorsNegativeTests","testGetAuthorInvalidIds"
"","386","Negative testing for Get Author by ID Scenario: Zero ID with ID: 0","","Fri Jan 30 09:14:28 UTC 2026","passed","Fri Jan 30 09:14:29 UTC 2026","","AuthorsNegativeTests","AuthorsNegativeTests","testGetAuthorInvalidIds"
"","427","Negative: Retrieve book with non-existent or boundary IDs Scenario: Non-existent ID with ID: 999999","","Fri Jan 30 09:14:26 UTC 2026","passed","Fri Jan 30 09:14:26 UTC 2026","","BooksNegativeTests","BooksNegativeTests","testGetBookByInvalidId"
"","391","Negative: Create book with malformed publishDate Invalid Date: 99-99-9999","","Fri Jan 30 09:14:24 UTC 2026","passed","Fri Jan 30 09:14:24 UTC 2026","","BooksNegativeTests","BooksNegativeTests","testCreateBookWithInvalidDate"
"","1699","Negative: Create book with malformed publishDate Invalid Date: not-a-date","","Fri Jan 30 09:14:22 UTC 2026","passed","Fri Jan 30 09:14:23 UTC 2026","","BooksNegativeTests","BooksNegativeTests","testCreateBookWithInvalidDate"
"","1860","Retrieve a list of all authors","","Fri Jan 30 09:14:29 UTC 2026","passed","Fri Jan 30 09:14:31 UTC 2026","","AuthorsHappyPathTests","AuthorsHappyPathTests","testGetAllAuthors"
"","776","Retrieve details of a specific author by their ID","","Fri Jan 30 09:14:32 UTC 2026","passed","Fri Jan 30 09:14:33 UTC 2026","","AuthorsHappyPathTests","AuthorsHappyPathTests","testGetAuthor"
"","730","Update an existing author’s details","","Fri Jan 30 09:14:31 UTC 2026","passed","Fri Jan 30 09:14:31 UTC 2026","","AuthorsHappyPathTests","AuthorsHappyPathTests","testUpdateAuthor"
"","387","Negative: Create book with malformed publishDate Invalid Date: ","","Fri Jan 30 09:14:24 UTC 2026","passed","Fri Jan 30 09:14:25 UTC 2026","","BooksNegativeTests","BooksNegativeTests","testCreateBookWithInvalidDate"
"","363","Negative: Create book with empty JSON body","","Fri Jan 30 09:14:25 UTC 2026","passed","Fri Jan 30 09:14:26 UTC 2026","","BooksNegativeTests","BooksNegativeTests","testCreateBookWithEmptyBody"
"","376","Negative: Create book with 5000 character title","","Fri Jan 30 09:14:25 UTC 2026","passed","Fri Jan 30 09:14:25 UTC 2026","","BooksNegativeTests","BooksNegativeTests","testLongTitleBoundary"
"","719","Delete an author by their ID","","Fri Jan 30 09:14:31 UTC 2026","passed","Fri Jan 30 09:14:32 UTC 2026","","AuthorsHappyPathTests","AuthorsHappyPathTests","testDeleteAuthor"
"","725","Add a new book to the system","","Fri Jan 30 09:14:36 UTC 2026","passed","Fri Jan 30 09:14:36 UTC 2026","","BooksHappyPathTests","BooksHappyPathTests","testCreateBook"
"","376","Negative testing for Get Author by ID Scenario: Negative ID with ID: -1","","Fri Jan 30 09:14:28 UTC 2026","passed","Fri Jan 30 09:14:28 UTC 2026","","AuthorsNegativeTests","AuthorsNegativeTests","testGetAuthorInvalidIds"
"","743","Add a new author to the system","","Fri Jan 30 09:14:33 UTC 2026","passed","Fri Jan 30 09:14:34 UTC 2026","","AuthorsHappyPathTests","AuthorsHappyPathTests","testCreateAuthor"
"","394","Negative: Retrieve book with non-existent or boundary IDs Scenario: Negative ID with ID: -1","","Fri Jan 30 09:14:26 UTC 2026","passed","Fri Jan 30 09:14:27 UTC 2026","","BooksNegativeTests","BooksNegativeTests","testGetBookByInvalidId"
"","387","Security: SQL Injection attempt in book title","","Fri Jan 30 09:14:25 UTC 2026","passed","Fri Jan 30 09:14:25 UTC 2026","","BooksNegativeTests","BooksNegativeTests","testSqlInjectionInTitle"
"","1086","Retrieve a list of all books","","Fri Jan 30 09:14:34 UTC 2026","passed","Fri Jan 30 09:14:35 UTC 2026","","BooksHappyPathTests","BooksHappyPathTests","testGetAllBooks"
"","877","Update an existing book by its ID","","Fri Jan 30 09:14:35 UTC 2026","passed","Fri Jan 30 09:14:36 UTC 2026","","BooksHappyPathTests","BooksHappyPathTests","testUpdateBook"
"","438","Negative: Create book with malformed publishDate Invalid Date: 2024-13-45","","Fri Jan 30 09:14:23 UTC 2026","passed","Fri Jan 30 09:14:24 UTC 2026","","BooksNegativeTests","BooksNegativeTests","testCreateBookWithInvalidDate"
